n, CPU time (s)
500, 0.448491
1000, 3.586247
1500, 12.136896
2000, 29.001800
3000, 97.453133
500, 0.469379
1000, 3.590095
1500, 12.166871
2000, 29.026002
3000, 97.407490
500, 0.449874
1000, 3.591061
1500, 12.140883
2000, 28.985631
3000, 97.326551
500, 0.449962
1000, 3.589198
1500, 12.213264
2000, 28.966837
3000, 97.313511
500, 0.447658
1000, 3.594309
1500, 12.214328
2000, 28.944771
3000, 97.332658
500, 0.448707
1000, 3.592667
1500, 12.170494
2000, 28.974621
3000, 97.350468
500, 0.449675
1000, 3.594835
1500, 12.233353
2000, 28.945551
3000, 97.461565
500, 0.450783
1000, 3.588360
1500, 12.220745
2000, 28.955115
3000, 97.292116
500, 0.449151
1000, 3.578370
1500, 12.113475
2000, 29.741409
3000, 97.320033
500, 0.450042
1000, 3.583900
1500, 12.180387
2000, 28.954322
3000, 97.339130
