threads, n, cpu time (s)
2, 500, 0.422388
2, 1000, 3.369074
2, 1500, 11.328553
2, 2000, 26.885778
2, 3000, 91.134363
4, 500, 0.413601
4, 1000, 3.368580
4, 1500, 11.330456
4, 2000, 26.843017
4, 3000, 90.826471
10, 500, 0.424334
10, 1000, 3.368643
10, 1500, 11.325455
10, 2000, 26.835429
10, 3000, 90.918698
2, 500, 0.422791
2, 1000, 3.365178
2, 1500, 11.317074
2, 2000, 26.822845
2, 3000, 91.111064
4, 500, 0.418608
4, 1000, 3.362125
4, 1500, 11.329251
4, 2000, 26.822282
4, 3000, 90.785616
10, 500, 0.424015
10, 1000, 3.371884
10, 1500, 11.330354
10, 2000, 26.807853
10, 3000, 90.804745
2, 500, 0.423991
2, 1000, 3.366045
2, 1500, 11.329042
2, 2000, 26.972380
2, 3000, 91.210235
4, 500, 0.414227
4, 1000, 3.373749
4, 1500, 11.334069
4, 2000, 26.834880
4, 3000, 90.801142
10, 500, 0.424784
10, 1000, 3.363935
10, 1500, 11.323615
10, 2000, 26.807584
10, 3000, 90.848009
2, 500, 0.420589
2, 1000, 3.367317
2, 1500, 11.330203
2, 2000, 26.851685
2, 3000, 91.040899
4, 500, 0.421352
4, 1000, 3.373534
4, 1500, 11.326522
4, 2000, 26.812736
4, 3000, 90.857384
10, 500, 0.424593
10, 1000, 3.369829
10, 1500, 11.335280
10, 2000, 26.838877
10, 3000, 90.773951
2, 500, 0.422844
2, 1000, 3.362241
2, 1500, 11.323007
2, 2000, 26.816321
2, 3000, 91.119360
4, 500, 0.417058
4, 1000, 3.371202
4, 1500, 11.339452
4, 2000, 26.868363
4, 3000, 90.858037
10, 500, 0.424862
10, 1000, 3.368934
10, 1500, 11.331513
10, 2000, 26.822999
10, 3000, 90.942150
2, 500, 0.423848
2, 1000, 3.370295
2, 1500, 11.330836
2, 2000, 26.880573
2, 3000, 91.104930
4, 500, 0.421277
4, 1000, 3.367106
4, 1500, 11.328918
4, 2000, 26.837993
4, 3000, 90.860967
10, 500, 0.423950
10, 1000, 3.371665
10, 1500, 11.337755
10, 2000, 26.825308
10, 3000, 90.963493
2, 500, 0.422765
2, 1000, 3.363739
2, 1500, 11.328581
2, 2000, 26.847570
2, 3000, 91.103352
4, 500, 0.420507
4, 1000, 3.373128
4, 1500, 11.328060
4, 2000, 26.829455
4, 3000, 90.920129
10, 500, 0.424407
10, 1000, 3.368977
10, 1500, 11.330053
10, 2000, 26.827653
10, 3000, 90.830402
2, 500, 0.424164
2, 1000, 3.366500
2, 1500, 11.343650
2, 2000, 26.896570
2, 3000, 91.101124
4, 500, 0.418137
4, 1000, 3.366149
4, 1500, 11.334924
4, 2000, 26.841123
4, 3000, 90.808383
10, 500, 0.424701
10, 1000, 3.367548
10, 1500, 11.335188
10, 2000, 26.817745
10, 3000, 90.808416
2, 500, 0.420735
2, 1000, 3.368272
2, 1500, 11.333918
2, 2000, 26.894226
2, 3000, 91.241951
4, 500, 0.421704
4, 1000, 3.370369
4, 1500, 11.333302
4, 2000, 26.816238
4, 3000, 90.927975
10, 500, 0.424629
10, 1000, 3.371742
10, 1500, 11.341313
10, 2000, 26.855167
10, 3000, 90.913855
2, 500, 0.423226
2, 1000, 3.364690
2, 1500, 11.332562
2, 2000, 26.869128
2, 3000, 91.127528
4, 500, 0.421670
4, 1000, 3.375696
4, 1500, 11.340011
4, 2000, 26.813280
4, 3000, 90.797319
10, 500, 0.424236
10, 1000, 3.368169
10, 1500, 11.331578
10, 2000, 26.797790
10, 3000, 90.792353
