n, cpu time (s)
500, 0.645770
1000, 5.252264
1500, 17.676157
2000, 42.453157
3000, 143.410962
500, 0.669479
1000, 5.319346
1500, 18.091638
2000, 42.539258
3000, 142.473159
500, 0.647805
1000, 5.258905
1500, 17.749903
2000, 42.438409
3000, 142.852418
500, 0.658880
1000, 5.289140
1500, 17.763481
2000, 42.460401
3000, 142.921372
500, 0.671959
1000, 5.277607
1500, 17.939808
2000, 42.778155
3000, 142.495606
500, 0.648346
1000, 5.182650
1500, 17.589535
2000, 42.232510
3000, 142.085882
500, 0.654640
1000, 5.276982
1500, 17.711573
2000, 42.588771
3000, 141.717204
500, 0.662127
1000, 5.217357
1500, 17.714935
2000, 42.307807
3000, 141.706809
500, 0.645370
1000, 5.161810
1500, 17.723231
2000, 42.000854
3000, 142.039243
500, 0.662104
1000, 5.257448
1500, 17.893381
2000, 42.067399
3000, 142.040834
