n, cpu time (s)
500, 0.089777
1000, 0.702054
1500, 2.358961
2000, 5.631071
3000, 20.851451
500, 0.089732
1000, 0.699505
1500, 2.353371
2000, 5.667506
3000, 20.917187
500, 0.089963
1000, 0.701389
1500, 2.347586
2000, 5.643274
3000, 20.829490
500, 0.089674
1000, 0.700173
1500, 2.353730
2000, 5.692594
3000, 20.984775
500, 0.090854
1000, 0.700362
1500, 2.350449
2000, 5.715503
3000, 20.824455
500, 0.089949
1000, 0.700858
1500, 2.344042
2000, 5.702033
3000, 20.846011
500, 0.089671
1000, 0.699696
1500, 2.345205
2000, 5.670955
3000, 20.975818
500, 0.090820
1000, 0.701266
1500, 2.365744
2000, 5.688447
3000, 21.058002
500, 0.089827
1000, 0.699258
1500, 2.341495
2000, 5.661913
3000, 20.897811
500, 0.089909
1000, 0.704145
1500, 2.363032
2000, 5.634657
3000, 20.920021
