n, cpu time (s)
500, 0.077920
1000, 0.584020
1500, 1.953651
2000, 4.776545
3000, 18.153562
500, 0.076173
1000, 0.586550
1500, 1.939660
2000, 4.758131
3000, 18.340048
500, 0.076020
1000, 0.581962
1500, 1.945193
2000, 4.720011
3000, 18.439742
500, 0.078056
1000, 0.583724
1500, 1.968638
2000, 4.793042
3000, 18.431990
500, 0.076062
1000, 0.582810
1500, 1.989310
2000, 4.728668
3000, 18.176243
500, 0.077460
1000, 0.582131
1500, 1.943635
2000, 4.998298
3000, 18.526801
500, 0.076357
1000, 0.586196
1500, 1.945001
2000, 4.682089
3000, 18.208891
500, 0.077661
1000, 0.582783
1500, 1.962377
2000, 4.774504
3000, 18.266406
500, 0.075908
1000, 0.582365
1500, 1.952565
2000, 4.726011
3000, 18.401499
500, 0.076324
1000, 0.584160
1500, 1.944191
2000, 4.758314
3000, 18.345656
