n, cpu time (s)
500, 0.651025
1000, 5.248682
1500, 17.695150
2000, 42.197624
3000, 141.803978
500, 0.641721
1000, 5.150384
1500, 17.725130
2000, 42.213454
3000, 142.230259
500, 0.652000
1000, 5.215903
1500, 17.853067
2000, 42.282110
3000, 141.895940
500, 0.667087
1000, 5.153675
1500, 17.806917
2000, 42.131294
3000, 142.034182
500, 0.667268
1000, 5.276311
1500, 17.671149
2000, 42.196711
3000, 142.317258
500, 0.670434
1000, 5.215293
1500, 17.853549
2000, 42.247971
3000, 142.375603
500, 0.638373
1000, 5.231135
1500, 17.789325
2000, 42.328842
3000, 142.151405
500, 0.665161
1000, 5.163405
1500, 17.821917
2000, 42.146076
3000, 142.290989
500, 0.648882
1000, 5.303843
1500, 17.837646
2000, 42.336123
3000, 141.583745
500, 0.671803
1000, 5.297105
1500, 17.890825
2000, 42.086455
3000, 141.985591
