n, cpu time (s)
100, 0.005498
200, 0.047633
400, 0.460793
600, 1.723922
800, 4.159989
1000, 8.789979
1500, 50.647540
2000, 142.219509
100, 0.005312
200, 0.049092
400, 0.463784
600, 1.669931
800, 4.113380
1000, 8.239142
1500, 39.266547
2000, 140.370535
100, 0.005291
200, 0.051077
400, 0.439475
600, 1.694148
800, 4.083879
1000, 7.957451
1500, 37.764874
2000, 144.784006
100, 0.005224
200, 0.048673
400, 0.441658
600, 1.702391
800, 3.978406
1000, 8.265177
1500, 38.807334
2000, 138.572134
100, 0.005244
200, 0.049219
400, 0.447588
600, 1.700557
800, 3.979997
1000, 8.242946
1500, 46.486804
2000, 144.757886
100, 0.005274
200, 0.047309
400, 0.459857
600, 1.705626
800, 4.014246
1000, 8.737142
1500, 40.376769
2000, 141.683585
100, 0.005235
200, 0.047648
400, 0.447226
600, 1.679457
800, 4.013313
1000, 8.261094
1500, 41.339003
2000, 142.493864
100, 0.005244
200, 0.047925
400, 0.437762
600, 1.688802
800, 4.091643
1000, 9.038463
1500, 42.838887
2000, 144.951623
100, 0.005255
200, 0.049524
400, 0.450340
600, 1.750201
800, 4.129198
1000, 8.321814
1500, 39.445877
2000, 142.237606
100, 0.005243
200, 0.049057
400, 0.439411
600, 1.747306
800, 4.072038
1000, 8.517397
1500, 40.129686
2000, 137.164146
